0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
14.651,18.32,53.13,19.54,32.37,44.58,46.41,38.47
14.651,18.32,53.13,18.93,32.37,44.58,46.41,37.86
14.651,18.32,53.74,18.93,32.37,43.97,46.41,37.86
14.651,17.71,53.13,18.93,31.76,43.97,47.02,37.86
13.431,17.71,52.52,18.32,31.76,43.36,46.41,38.47
13.431,17.71,53.13,18.32,31.14,42.75,46.41,37.86
13.431,17.71,53.13,18.32,31.14,42.75,46.41,37.86
12.821,16.48,51.91,17.71,31.14,43.36,47.02,37.25
12.821,17.09,51.91,17.71,31.14,42.75,46.41,37.25
12.821,16.48,52.52,17.1,30.53,43.36,45.8,36.64
12.211,15.87,51.3,17.1,29.92,42.14,45.8,36.64
12.211,15.87,51.3,16.49,29.31,42.75,46.41,36.64
12.211,15.87,51.3,16.49,29.92,42.14,45.8,36.64
12.211,15.87,51.3,16.49,29.31,41.53,45.8,36.64
11.601,15.87,51.3,16.49,28.7,41.53,45.19,36.64
10.991,15.26,50.69,15.87,28.7,41.53,45.8,36.03
10.991,15.87,50.69,15.87,28.09,41.53,45.19,36.03
10.991,14.65,50.69,14.65,27.48,41.53,45.19,36.64
10.381,14.65,50.08,14.65,27.48,40.92,45.19,36.64
10.991,14.65,50.08,14.65,26.87,40.92,45.19,35.42
10.381,14.65,50.08,14.04,26.26,40.92,44.58,36.03
9.771,14.04,49.47,14.04,26.26,40.31,44.58,35.42
9.771,14.65,48.86,14.04,26.26,39.69,44.58,35.42
9.161,14.04,48.86,13.432,25.04,40.31,43.97,34.81
8.551,14.04,48.86,14.04,25.04,39.69,43.97,34.2
9.161,14.04,48.24,12.821,25.04,39.69,43.36,34.2
9.161,13.43,48.24,13.432,24.43,39.08,43.36,33.59
8.551,12.82,47.63,12.211,23.82,39.08,42.74,33.59
8.551,14.04,48.24,12.211,23.21,38.47,42.74,33.59
8.551,13.43,47.02,12.211,23.21,38.47,42.74,33.59
7.941,12.82,47.02,11.6,22.6,38.47,42.13,32.98
7.941,13.43,47.02,11.6,21.98,38.47,42.13,32.98
7.331,12.21,46.41,11.6,21.37,38.47,41.52,32.36
7.331,12.82,46.41,10.379,21.37,37.25,41.52,32.98
6.721,12.82,45.8,10.379,20.15,37.25,40.91,32.36
6.721,12.21,45.8,10.379,20.15,37.25,40.91,32.36
6.111,12.21,45.19,9.768,20.15,36.64,40.302,31.75
6.111,11.6,45.19,9.16,18.93,36.64,40.91,31.75
6.111,12.21,45.19,9.768,18.93,36.03,40.302,31.75
6.111,11.6,44.58,9.16,18.32,36.64,39.691,31.75
6.111,11.6,44.58,8.55,17.71,36.03,39.081,31.75
5.501,11.6,43.97,8.55,17.71,36.03,39.081,30.53
4.881,11.6,43.97,8.55,17.1,35.42,39.081,31.14
4.881,11.6,43.36,7.94,16.49,35.42,37.859,30.53
5.501,11.6,43.97,7.33,15.88,35.42,37.859,30.53
4.271,10.99,43.36,7.94,15.88,34.81,37.249,29.92
4.271,10.99,42.75,7.33,14.66,34.81,37.249,29.92
4.271,10.99,42.14,6.71,14.66,34.2,36.638,29.92
3.661,10.38,42.75,6.1,14.05,34.2,36.638,29.92
4.271,10.38,42.14,6.1,13.44,33.59,36.03,29.31
3.661,10.38,40.92,6.1,12.83,33.59,35.42,29.31
3.661,10.38,41.53,5.49,12.83,33.59,36.03,28.7
3.661,9.77,40.92,4.88,12.21,32.98,35.42,28.7
3.051,9.77,40.92,4.27,11.6,32.37,34.81,28.7
3.051,9.77,40.31,4.27,11.6,32.98,34.2,28.09
3.051,9.77,40.31,4.27,10.99,32.98,34.2,28.09
3.051,9.77,39.7,3.66,10.99,32.37,33.58,27.48
2.443,9.77,39.7,3.66,10.38,32.37,33.58,28.09
3.051,9.77,39.7,3.66,9.77,31.76,33.58,28.09
2.443,9.16,38.47,3.05,9.16,31.76,32.97,27.48
2.443,9.77,39.09,3.05,9.16,31.15,32.36,28.09
2.443,8.55,38.47,3.05,8.55,31.15,32.36,27.48
2.443,9.16,38.47,2.44,8.55,31.15,32.36,27.48
2.443,8.55,37.86,1.83,7.94,31.15,31.14,27.48
2.443,9.16,37.86,1.83,7.33,30.54,31.14,26.26
1.832,9.16,37.25,1.83,7.33,29.92,30.53,26.87
1.832,8.55,37.25,1.22,7.94,29.92,30.53,26.87
1.832,9.16,36.64,1.22,6.72,29.31,29.92,25.65
1.222,7.94,36.64,0.61,6.72,29.31,29.31,25.65
1.222,7.94,36.032,0.61,6.11,29.31,29.31,25.65
1.222,7.94,36.032,0,6.11,28.7,29.31,25.04
1.222,8.55,35.421,0.61,6.72,28.7,28.7,25.04
0.611,7.94,35.421,0,6.11,28.09,28.09,24.43
1.222,8.55,35.421,0,6.11,28.09,28.09,24.43
0.611,8.55,34.811,0,5.5,27.482,27.48,24.43
0.611,8.55,34.2,0,5.5,28.09,26.87,23.82
0.611,8.55,34.2,0,4.89,28.09,26.26,23.82
0.611,8.55,33.589,-0.61,5.5,26.871,26.26,23.82
0.611,8.55,33.589,-0.61,4.89,27.482,26.26,23.2
-0.61,7.94,32.979,-0.61,4.28,26.871,25.65,23.2
0,7.94,32.979,-1.22,4.28,26.261,25.65,22.59
0,7.94,32.368,-1.22,4.89,26.871,25.04,22.59
-0.61,7.94,32.979,-1.22,4.28,26.261,25.04,22.59
0,7.94,32.368,-1.22,4.28,25.65,24.43,22.59
0,7.94,31.76,-1.83,4.28,25.65,23.81,21.98
0,7.94,31.15,-1.83,4.28,25.039,23.81,21.98
0,7.94,31.15,-2.44,3.67,25.65,23.2,21.37
-0.61,6.71,30.54,-2.44,3.67,25.039,23.2,21.37
0,7.32,31.15,-2.44,3.67,25.039,23.2,21.37
-0.61,7.32,30.54,-3.06,3.67,24.429,22.59,20.76
0,7.32,30.54,-3.06,3.05,23.818,22.59,20.76
-0.61,7.94,29.93,-3.06,3.05,23.818,21.98,20.76
-1.221,7.32,29.31,-3.67,3.05,24.429,21.37,20.76
-1.221,7.32,29.31,-3.67,2.44,23.818,21.37,20.76
-1.221,7.32,28.7,-3.67,2.44,23.21,20.76,20.76
-1.221,7.32,28.7,-3.67,2.44,23.21,20.76,20.76
-0.61,6.71,28.7,-4.28,2.44,23.21,20.76,20.76
-0.61,7.32,28.09,-3.67,2.44,21.99,20.76,20.15
-0.61,7.32,28.09,-4.28,2.44,21.99,19.54,20.15
-1.221,6.71,27.48,-4.89,2.44,21.99,19.54,20.15
-1.221,7.32,27.48,-4.28,2.44,21.99,19.54,20.15
-0.61,7.32,26.87,-4.28,2.44,21.38,18.93,19.54
-1.221,7.32,26.26,-4.28,2.44,21.38,18.93,18.93
-1.221,7.32,26.26,-3.67,1.83,21.38,18.32,18.93
-1.221,6.71,26.26,-4.89,1.83,21.38,18.32,18.32
-0.61,7.32,26.26,-4.89,2.44,20.76,17.71,18.32
-1.829,7.32,25.65,-4.28,2.44,20.76,17.71,18.32
-1.221,7.32,25.65,-4.89,1.83,20.76,17.1,18.32
-1.221,7.32,25.65,-4.89,2.44,20.76,17.1,18.32
-1.221,6.71,25.04,-5.5,2.44,20.15,17.1,18.32
-1.221,6.71,25.04,-5.5,1.83,19.54,17.1,18.32
-1.221,7.32,24.43,-5.5,1.83,19.54,16.49,18.32
-1.829,6.71,23.82,-5.5,2.44,20.15,16.49,18.32
-0.61,6.71,23.82,-6.11,1.83,19.54,15.88,17.71
-1.221,6.71,23.82,-6.11,1.83,19.54,15.27,17.71
-1.221,6.71,23.21,-6.11,1.83,19.54,15.27,17.71
-1.221,6.71,23.21,-6.11,1.83,18.93,15.88,17.71
-1.221,6.71,23.21,-6.11,1.83,17.71,15.27,17.1
-1.221,6.71,22.6,-6.11,1.83,17.71,14.65,16.49
-1.221,7.32,22.6,-6.11,1.83,18.32,14.04,16.49
-1.221,7.32,21.99,-5.5,1.83,17.71,14.65,16.49
-1.221,6.71,21.38,-6.11,1.83,17.71,14.04,15.88
-1.829,7.32,21.38,-6.11,1.83,17.1,14.04,15.88
-1.829,7.32,20.77,-6.11,1.83,17.1,14.04,15.88
-1.221,6.71,20.77,-6.11,1.83,17.1,14.04,15.88
-1.221,6.71,21.38,-6.11,1.83,16.49,13.43,15.88
-1.829,6.71,20.77,-6.11,1.83,17.1,13.43,16.49
-1.221,7.32,20.16,-6.72,1.83,17.1,13.43,16.49
-1.221,7.32,19.54,-6.72,1.83,16.49,12.21,16.49
-1.221,6.71,19.54,-6.72,1.83,15.88,12.82,15.88
-1.221,7.32,18.93,-6.72,1.83,15.88,12.82,15.88
-1.221,6.71,19.54,-6.72,2.44,15.88,12.21,15.88
-0.61,6.71,19.54,-6.72,1.83,15.27,12.21,15.88
-1.221,7.32,19.54,-7.33,1.83,15.27,12.21,15.88
-1.221,6.71,18.32,-7.33,2.44,14.66,12.21,15.27
-0.61,7.32,17.71,-7.33,2.44,14.66,12.21,14.66
-0.61,6.71,17.71,-7.33,1.83,14.66,11.6,14.66
-1.221,6.71,18.32,-7.33,1.83,14.66,12.21,14.66
-1.221,6.71,17.71,-7.33,1.83,14.66,11.6,14.66
-0.61,7.32,17.1,-6.72,1.83,14.05,10.99,14.04
-0.61,7.32,17.1,-6.72,2.44,13.44,11.6,14.66
-1.221,7.32,17.1,-6.72,2.44,12.83,10.99,14.66
-0.61,7.94,16.49,-6.72,1.83,13.44,10.99,14.66
0,7.94,15.88,-6.72,2.44,12.83,10.38,14.66
-0.61,7.32,16.49,-7.33,1.83,12.83,10.99,14.66
0,6.71,15.88,-6.72,1.83,12.22,10.38,14.66
-0.61,7.32,15.88,-7.33,2.44,12.22,10.99,14.66
-0.61,7.94,15.27,-7.33,2.44,12.22,10.38,15.27
0,7.94,15.27,-7.33,2.44,12.22,10.38,15.27
0,7.32,14.66,-7.33,2.44,11.61,10.38,14.66
-0.61,7.32,14.66,-7.94,2.44,11.61,10.38,14.04
-0.61,6.71,14.05,-7.94,2.44,11.61,10.38,14.66
0,7.32,14.05,-7.33,3.05,10.99,10.38,14.04
0,6.71,13.44,-7.94,3.05,10.99,10.38,14.04
-0.61,7.94,13.44,-7.33,2.44,10.99,9.77,13.43
0,7.32,13.44,-7.33,2.44,10.99,10.38,14.04
-0.61,7.94,12.83,-7.33,3.05,10.38,9.77,14.04
-0.61,7.32,12.83,-7.33,3.05,10.99,9.77,13.43
0,7.32,12.22,-7.94,3.05,10.38,9.77,13.43
0,7.94,12.83,-7.33,3.05,10.38,9.77,13.43
0,8.55,12.22,-7.33,3.05,9.16,9.77,14.04
-0.61,7.94,11.61,-7.33,3.67,9.77,9.77,14.04
0.611,7.94,11.61,-6.72,3.05,9.77,9.16,13.43
0.611,8.55,11,-6.72,3.67,9.16,9.16,13.43
1.222,9.16,21.38,1.22,3.67,8.55,9.77,14.04
1.222,8.55,19.54,7.33,3.05,8.55,9.16,14.04
0.611,8.55,14.66,6.1,3.67,8.55,9.16,14.04
0,7.94,11,4.27,3.05,8.55,9.16,14.04
0,7.94,7.94,1.83,3.05,8.55,9.16,13.43
0,7.94,6.11,0.61,5.5,19.54,9.16,13.43
-0.61,7.32,3.67,0,4.28,18.32,9.16,14.04
-1.221,7.32,1.84,-1.22,3.67,15.88,9.16,13.43
-1.221,6.71,0,-2.44,3.05,12.83,8.55,12.82
-1.221,7.32,-1.22,-2.44,1.83,10.99,6.72,10.99
-1.829,8.55,-2.44,-3.67,1.83,8.55,5.49,9.16
-1.221,8.55,-3.05,-3.67,1.22,6.72,4.27,7.94
-1.829,9.16,-4.27,-3.67,0.61,6.11,3.05,6.72
-1.221,9.16,-3.66,-3.06,0,4.89,1.83,5.5
-1.221,10.38,-3.66,-3.06,-0.61,3.67,0.61,4.89
-1.221,10.38,-3.66,-2.44,-0.61,2.45,0,4.27
-0.61,10.99,-2.44,-1.22,-1.22,2.45,0,3.66
-0.61,10.99,-2.44,-1.22,-1.22,1.83,0,2.44
-0.61,10.99,-1.22,0,-1.22,1.83,-1.22,1.83
0,11.6,0,0.61,-1.22,2.45,-1.22,1.83
0.611,11.6,1.22,2.44,-1.22,2.45,-1.22,1.83
1.222,11.6,3.06,4.27,-1.22,3.06,-1.22,1.22
1.222,12.21,4.89,6.1,-0.61,3.67,-1.22,1.22
1.832,12.21,6.72,7.94,-0.61,5.5,-1.22,1.83
3.051,13.43,7.94,10.379,-0.61,6.72,-1.22,1.83
3.661,14.04,9.77,12.211,-0.61,8.55,-1.22,1.83
4.271,14.65,11.61,15.26,0.61,9.77,-0.61,2.44
4.881,15.26,13.44,17.1,0,11.61,0,3.66
6.111,16.48,15.88,19.54,0.61,14.05,0,4.27
6.721,16.48,17.1,21.37,0.61,15.88,0.61,5.5
7.331,17.71,18.93,23.81,1.83,17.71,0.61,5.5
7.941,18.32,19.54,25.64,2.44,20.15,1.22,6.72
9.161,18.93,21.38,27.48,3.05,21.99,1.22,7.33
10.381,18.93,22.6,28.7,4.28,24.429,1.83,8.55
11.601,20.15,23.82,29.31,4.89,26.261,2.44,9.16
12.211,20.15,25.04,31.14,5.5,28.09,3.05,10.38
13.431,21.37,26.26,32.36,6.72,30.54,3.66,10.99
14.041,21.98,27.48,33.58,8.55,31.76,4.88,12.21
14.651,22.59,27.48,34.8,9.77,34.2,5.49,13.43
15.881,23.2,28.7,34.8,11.6,34.81,6.11,14.66
16.491,23.81,29.31,36.03,14.05,36.64,6.72,16.49
17.711,24.42,30.54,37.25,17.71,37.86,7.33,17.71
17.711,25.64,30.54,37.86,21.37,39.08,9.16,19.54
18.321,26.25,31.15,38.47,23.82,39.69,9.77,21.37
19.541,27.48,32.368,38.47,28.09,40.31,10.38,21.98
20.151,27.48,32.368,39.69,31.14,40.92,10.99,24.43
20.761,28.09,32.979,40.3,34.81,42.14,12.21,26.26
21.371,28.09,32.979,40.91,37.86,42.75,13.43,27.48
21.981,28.09,33.589,40.3,40.3,43.36,14.65,29.31
21.981,28.09,33.589,41.52,42.75,43.36,15.88,30.53
23.201,28.7,33.589,40.91,45.19,43.97,16.49,31.75
23.201,28.7,34.811,41.52,47.02,43.97,17.71,32.98
23.811,29.92,34.811,41.52,48.24,44.58,19.54,34.81
24.431,29.92,34.811,41.52,50.07,44.58,20.76,34.81
25.041,29.92,35.421,42.13,51.91,44.58,21.98,36.03
25.041,29.92,34.811,42.74,53.128,45.19,23.2,37.86
25.651,29.92,35.421,42.74,54.349,45.8,24.43,39.08
26.261,30.53,35.421,42.74,55.571,45.8,26.26,39.69
26.871,31.14,36.032,42.74,56.792,45.8,26.26,40.3
26.871,31.14,35.421,42.74,58.01,45.8,28.7,41.52
26.871,31.75,35.421,43.35,58.62,45.19,29.92,42.75
26.871,32.36,36.032,43.96,60.46,45.8,31.14,42.75
27.481,31.75,36.032,43.96,61.07,45.8,32.36,43.97
28.091,31.75,35.421,43.96,62.29,46.41,34.2,45.188
27.481,32.36,36.032,44.58,62.9,45.8,34.81,46.409
28.701,31.75,36.032,43.96,63.51,45.8,36.638,46.409
28.091,31.14,36.032,43.96,64.12,45.8,37.249,47.02
28.091,31.75,36.032,43.96,64.73,46.41,38.47,47.631
28.701,31.14,36.032,43.96,65.34,46.41,39.691,47.631
28.701,31.14,36.032,43.96,65.95,46.41,40.302,48.241
28.701,31.14,35.421,43.96,66.56,46.41,42.13,48.852
28.701,31.75,35.421,44.58,67.17,46.41,43.36,48.852
29.311,31.14,35.421,44.58,67.78,46.41,43.97,48.852
29.311,31.75,35.421,45.19,67.78,47.02,45.19,48.852
29.311,31.75,35.421,44.58,68.39,46.41,46.41,49.46
29.311,31.14,36.032,44.58,69,46.41,47.02,50.07
29.921,31.75,36.032,44.58,69,47.02,47.63,49.46
29.311,31.75,36.032,45.19,69.62,47.02,48.85,50.68
29.311,32.36,36.64,45.19,69.62,47.02,49.46,51.29
29.921,31.75,36.64,45.19,70.23,46.41,50.07,51.91
29.311,31.75,35.421,45.8,70.84,47.63,50.68,51.91
29.921,32.36,36.032,45.8,71.45,47.63,51.9,51.91
29.311,32.36,36.64,45.19,71.45,47.63,51.9,52.52
29.311,31.75,36.032,45.8,71.45,47.63,52.51,52.52
29.311,31.75,36.64,45.19,70.84,47.02,53.74,52.52
29.311,31.75,36.64,45.8,71.45,47.63,53.74,53.13
29.311,31.75,36.64,46.41,72.06,47.02,53.74,52.52
29.921,31.75,36.64,45.19,72.06,47.63,54.35,52.52
29.311,31.14,36.64,45.8,72.67,47.63,54.96,52.52
29.921,31.75,36.64,45.19,72.06,47.63,55.57,52.52
29.311,31.14,36.64,45.19,72.06,48.24,56.18,52.52
29.311,31.14,37.25,45.19,72.67,48.24,55.57,53.13
29.311,30.53,36.64,45.19,72.67,48.24,56.79,53.13
29.311,30.53,36.64,45.19,72.67,48.24,56.18,52.52
28.701,30.53,36.64,45.8,72.67,48.85,56.79,53.13
28.701,30.53,37.25,45.19,72.67,48.24,57.4,53.74
28.701,30.53,37.25,45.19,72.67,48.24,58.01,53.74
28.701,31.14,37.86,45.8,72.67,48.85,57.4,53.74
28.701,31.14,37.25,45.8,72.67,49.47,58.01,54.35
28.091,31.14,37.25,46.41,73.28,49.47,58.01,53.74
28.701,31.14,37.25,45.8,72.06,48.24,58.01,53.74
28.091,31.14,37.86,45.8,72.06,49.47,58.62,54.35
28.091,31.14,37.86,46.41,72.67,48.85,58.62,53.74
28.091,30.53,37.86,45.8,72.06,49.47,58.62,53.74
28.091,30.53,37.86,45.19,72.67,48.85,59.23,53.13
27.481,30.53,38.47,45.8,72.06,48.85,59.23,53.13
27.481,29.92,38.47,45.8,72.06,49.47,58.62,53.13
27.481,29.92,38.47,45.8,71.45,50.08,59.23,53.13
27.481,29.92,38.47,45.8,71.45,50.08,59.23,53.74
27.481,29.31,38.47,45.8,72.06,50.08,59.23,53.13
26.871,29.92,37.86,45.8,71.45,50.69,58.62,53.74
27.481,29.31,38.47,45.8,71.45,50.69,59.23,53.74
26.871,29.31,38.47,45.8,71.45,50.08,59.23,54.35
26.871,30.53,39.09,45.8,70.84,50.69,59.23,54.35
26.871,29.92,39.09,45.8,70.23,50.08,59.23,53.74
26.871,29.92,39.09,46.41,70.84,51.3,59.23,53.74
26.261,29.31,39.09,46.41,70.23,51.3,59.84,53.13
26.871,30.53,39.09,45.8,70.23,51.3,59.84,53.74
26.261,29.92,39.7,46.41,70.23,50.69,59.84,53.13
26.261,29.92,39.7,46.41,69.62,50.69,59.84,53.13
26.261,29.31,39.7,45.8,69.62,51.3,59.23,53.13
25.651,29.31,40.31,46.41,69,51.3,59.23,53.13
25.651,28.7,40.31,46.41,68.39,51.91,59.84,53.13
26.261,29.31,40.92,45.8,68.39,51.91,59.84,52.52
25.041,29.31,40.92,45.8,68.39,51.91,59.84,52.52
25.041,28.7,40.92,45.19,67.78,51.91,59.23,53.13
25.041,28.09,40.92,45.8,67.17,51.91,59.23,52.52
25.041,28.09,40.92,45.8,66.56,52.52,59.23,52.52
24.431,28.7,40.92,45.8,67.17,51.91,59.84,52.52
24.431,28.7,41.53,45.8,66.56,52.52,59.23,52.52
24.431,28.09,40.92,45.8,66.56,53.13,59.84,52.52
23.811,28.7,41.53,45.8,66.56,52.52,59.23,51.91
24.431,28.7,41.53,45.8,65.95,53.13,59.23,52.52
23.811,28.7,41.53,46.41,65.95,53.13,59.23,51.91
23.201,28.7,41.53,46.41,64.73,53.74,59.23,52.52
23.201,28.7,41.53,46.41,64.73,53.13,59.23,52.52
23.201,28.7,42.14,45.8,64.12,53.74,59.23,51.91
23.201,28.7,42.14,46.41,64.12,53.74,59.23,51.91
23.201,28.7,42.14,46.41,63.51,53.74,58.62,51.91
23.201,28.7,42.14,45.8,62.9,53.74,58.62,51.91
22.591,28.09,42.14,45.8,62.9,53.74,58.62,50.68
23.201,28.7,42.14,46.41,62.29,53.74,58.62,51.29
22.591,28.7,42.75,46.41,61.07,54.35,59.23,51.29
21.981,28.09,42.75,46.41,61.68,54.96,58.62,51.29
22.591,27.48,42.75,45.8,61.07,54.96,58.62,50.68
21.371,28.09,42.75,46.41,61.07,54.35,58.62,50.68
21.371,27.48,43.36,46.41,60.46,54.35,58.62,50.07
21.371,28.09,43.36,46.41,59.85,54.96,58.62,49.46
21.981,27.48,43.97,45.8,59.23,54.96,58.62,50.07
21.371,27.48,43.97,46.41,58.62,55.57,58.01,49.46
21.371,26.87,44.58,46.41,58.62,56.18,58.62,50.07
20.761,27.48,43.97,46.41,58.01,55.57,58.01,49.46
20.761,26.87,44.58,46.41,57.4,55.57,58.01,49.46
20.761,26.87,44.58,45.8,56.792,56.18,58.01,49.46
20.761,26.87,44.58,45.8,56.792,56.18,57.4,49.46
20.151,26.25,44.58,46.41,56.181,56.18,58.01,49.46
20.151,26.87,45.19,45.8,55.571,56.18,58.01,49.46
20.151,26.87,44.58,45.8,55.571,56.79,57.4,49.46
19.541,26.87,45.19,46.41,54.349,56.79,57.4,49.46
19.541,26.87,45.19,45.8,53.739,56.79,57.4,48.852
19.541,26.25,45.19,45.8,53.739,56.79,57.4,48.852
19.541,26.87,45.8,46.41,53.739,56.79,56.79,47.631
19.541,26.25,45.8,46.41,53.128,57.4,56.79,47.631
19.541,26.87,45.8,46.41,52.52,56.79,57.4,47.631
18.931,26.25,46.41,46.41,51.91,57.4,56.79,47.631
18.931,26.87,46.41,46.41,51.3,57.4,56.79,47.631
18.321,26.25,46.41,46.41,51.3,58.01,56.18,47.631
18.321,26.25,47.02,46.41,50.69,58.01,56.18,47.02
18.931,26.87,46.41,46.41,50.69,58.01,56.18,47.02
18.321,26.25,47.63,46.41,49.46,58.01,56.18,47.631
18.321,25.64,47.02,46.41,49.46,58.01,56.79,47.631
17.711,25.64,47.02,46.41,48.24,58.01,56.18,47.631
17.711,25.64,47.02,46.41,48.24,58.63,55.57,46.409
17.711,25.64,47.02,46.41,48.24,58.63,55.57,47.02
17.711,26.25,47.02,46.41,47.02,58.63,55.57,46.409
17.711,25.64,47.63,46.41,47.02,58.63,55.57,47.02
17.101,26.25,48.24,46.41,46.41,59.24,54.96,47.02
17.711,25.03,48.24,46.41,46.41,59.85,54.96,46.409
17.711,25.64,48.86,46.41,45.19,59.85,54.96,45.799
17.101,25.64,48.86,46.41,44.58,59.24,54.96,45.799
17.101,25.64,48.86,47.02,44.58,59.24,54.96,45.799
16.491,25.64,48.86,47.02,43.36,59.85,54.35,45.188
17.101,25.03,48.86,47.02,43.36,59.85,54.35,45.188
16.491,25.64,48.86,46.41,43.36,60.46,54.35,45.188
16.491,25.03,49.47,46.41,42.14,59.85,54.35,45.188
16.491,24.42,49.47,46.41,41.53,59.85,54.35,44.58
15.881,24.42,49.47,46.41,41.53,60.46,53.74,44.58
15.881,24.42,49.47,46.41,40.92,60.46,53.74,44.58
16.491,25.03,50.08,46.41,40.3,60.46,53.74,44.58
15.881,24.42,50.08,46.41,39.69,60.46,53.13,43.97
16.491,24.42,50.08,46.41,39.69,61.07,53.13,43.36
15.881,24.42,50.08,46.41,38.47,60.46,53.13,43.97
15.881,25.03,50.69,46.41,38.47,61.07,53.13,43.36
15.271,23.81,50.69,46.41,38.47,60.46,53.13,42.75
15.271,24.42,50.69,46.41,37.86,61.07,53.13,42.13
14.651,25.03,50.69,47.02,37.25,61.07,52.51,42.75
14.651,24.42,50.69,46.41,36.64,61.68,52.51,42.13
15.271,25.03,51.3,47.02,36.03,61.07,52.51,42.13
15.271,25.03,51.3,46.41,36.03,61.68,51.9,42.13
15.271,25.03,51.91,46.41,35.42,61.07,51.9,42.13
15.271,24.42,51.3,47.02,34.81,61.68,51.29,41.52
15.271,25.03,51.91,47.02,35.42,62.29,51.29,42.13
15.271,25.64,51.91,47.02,34.2,62.29,51.29,42.13
14.651,25.03,51.91,47.02,34.2,62.29,51.29,42.13
14.651,25.03,52.52,47.02,33.59,62.29,50.68,42.13
14.651,24.42,52.52,46.41,32.98,62.9,50.68,42.13
14.651,25.03,51.91,47.02,32.98,62.9,50.68,42.13
14.651,24.42,52.52,47.02,32.37,62.9,50.07,42.13
14.651,24.42,53.13,47.02,32.37,62.9,50.07,41.52
14.041,25.03,53.13,46.41,31.76,64.12,50.07,41.52
14.651,25.03,52.52,47.02,31.14,62.9,50.07,42.13
14.651,24.42,53.13,46.41,31.14,63.51,49.46,42.13
14.651,23.81,53.13,46.41,31.14,63.51,49.46,42.13
14.041,25.03,53.74,46.41,30.53,62.9,49.46,42.75
14.041,25.03,53.74,47.02,29.92,63.51,49.46,42.75
14.041,24.42,53.74,47.02,29.92,62.9,48.85,42.75
14.041,25.03,53.74,47.02,29.31,63.51,49.46,42.75
14.041,24.42,54.35,47.02,29.31,63.51,48.85,42.75
14.041,24.42,53.74,47.02,28.7,63.51,48.85,42.75
13.431,25.03,54.35,47.02,28.7,63.51,48.85,42.75
14.041,25.03,54.35,47.02,28.09,64.12,48.24,42.75
14.041,24.42,54.35,46.41,27.48,64.12,48.24,42.13
14.041,24.42,54.35,46.41,27.48,64.12,48.24,42.13
14.041,25.03,54.35,47.02,27.48,64.12,48.24,42.13
14.041,24.42,54.35,47.02,26.87,64.12,48.24,41.52
13.431,25.03,54.35,47.02,26.87,64.12,47.63,41.52
13.431,25.03,54.35,47.02,26.26,64.73,47.63,42.13
13.431,25.64,54.96,47.02,25.65,64.73,47.63,41.52
14.041,25.03,54.96,47.02,26.26,64.12,47.63,42.13
13.431,25.03,54.96,47.02,26.26,64.12,47.02,42.13
13.431,25.03,54.96,47.63,25.65,65.34,47.02,42.13
14.041,25.03,55.57,47.02,25.65,64.73,47.02,42.13
12.821,25.03,55.57,47.02,25.04,64.73,47.02,42.13
13.431,25.64,55.57,47.02,25.04,64.73,47.02,42.75
13.431,25.64,55.57,47.02,25.04,64.73,46.41,42.13
14.041,25.64,56.18,47.63,24.43,64.73,46.41,42.75
14.041,26.25,56.18,47.63,24.43,64.73,46.41,42.75
13.431,26.25,56.18,47.63,25.04,65.34,46.41,42.75
13.431,26.25,56.18,47.63,24.43,65.34,46.41,42.75
13.431,25.64,56.18,47.63,23.82,65.34,45.8,42.75
14.041,26.25,56.79,48.24,23.82,65.34,46.41,42.13
14.041,26.25,56.18,47.63,23.82,65.34,45.8,41.52
13.431,26.25,56.18,47.63,23.82,65.34,45.8,42.13
13.431,26.25,56.79,47.63,24.43,65.95,45.8,42.75
14.041,26.87,56.79,47.63,23.21,65.95,45.8,42.75
14.041,26.87,56.79,47.63,23.82,65.95,45.8,42.13
14.041,26.25,57.4,47.63,23.21,65.95,45.8,41.52
13.431,26.25,56.79,47.63,23.21,65.95,45.8,42.75
14.041,26.25,57.4,47.63,23.21,65.95,45.19,42.13
13.431,26.25,57.4,47.63,23.21,65.95,45.19,42.75
14.041,26.25,57.4,47.02,23.21,66.56,45.19,42.13
14.041,26.25,57.4,47.02,23.21,65.95,45.19,42.75
14.041,26.25,57.4,47.63,23.82,67.17,45.19,43.36
13.431,26.25,57.4,47.63,23.82,65.95,45.19,42.75
14.651,25.64,58.02,47.02,23.21,65.95,45.19,42.75
14.041,26.87,57.4,47.02,23.82,67.17,45.19,43.36
14.041,25.64,58.02,47.63,23.21,66.56,45.19,42.75
14.651,26.87,58.02,47.63,23.21,65.95,45.19,42.75
14.041,26.25,57.4,47.63,23.82,66.56,45.19,42.75
14.041,26.25,58.02,47.02,23.82,66.56,45.19,42.75
14.651,26.25,58.02,47.63,23.82,66.56,44.58,42.75
14.651,27.48,58.02,47.63,23.21,66.56,45.19,43.36
14.041,26.87,58.02,47.63,23.21,66.56,45.19,43.36
14.651,26.87,58.02,48.24,23.82,67.17,44.58,42.75
14.041,27.48,58.63,47.63,23.82,67.17,44.58,43.36
14.651,27.48,58.63,47.63,23.82,66.56,44.58,43.36
14.651,27.48,58.63,48.24,23.21,67.17,45.19,43.36
14.651,27.48,58.63,47.63,23.82,67.17,45.19,43.97
