0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
28.091,27.48,32.368,36.64,65.34,38.47,37.249,27.48
27.481,28.09,32.979,37.25,65.95,39.08,38.47,28.09
27.481,28.09,32.979,37.25,65.95,39.69,38.47,28.09
28.091,28.09,32.979,37.25,65.34,39.69,39.691,28.09
27.481,27.48,32.979,37.86,65.34,39.69,40.302,28.09
27.481,27.48,33.589,37.86,65.34,39.69,40.91,28.09
27.481,27.48,33.589,37.86,65.34,39.69,41.52,28.09
26.871,27.48,34.2,37.86,65.34,39.69,42.74,28.09
26.871,28.09,33.589,37.86,64.73,40.31,42.74,27.48
26.871,28.09,34.2,37.86,64.73,39.69,43.97,28.09
26.871,27.48,34.2,37.86,64.73,40.31,43.97,28.09
26.871,27.48,34.811,37.86,64.73,40.31,44.58,28.09
26.261,27.48,34.811,37.86,64.73,39.69,45.8,28.09
26.261,27.48,34.811,37.86,64.73,40.92,45.8,28.7
26.261,26.87,34.811,37.86,64.73,40.31,46.41,28.09
26.261,27.48,35.421,37.86,64.12,40.31,46.41,28.09
25.651,27.48,35.421,37.25,63.51,40.31,47.02,28.09
25.651,27.48,35.421,37.86,63.51,40.92,47.63,28.09
25.651,26.87,35.421,37.86,63.51,40.31,47.63,28.09
25.041,26.87,35.421,38.47,62.9,40.92,47.63,28.09
25.041,26.87,36.032,37.86,62.9,40.92,48.24,28.7
25.651,26.25,36.032,37.25,62.9,40.92,48.85,28.7
25.041,26.87,36.032,37.86,62.29,40.92,48.85,28.7
24.431,26.25,36.64,37.86,62.29,40.92,48.85,28.7
24.431,25.64,36.64,37.86,62.29,40.92,49.46,29.31
24.431,25.64,36.64,37.25,62.29,41.53,49.46,28.09
23.811,25.64,36.64,37.86,61.68,41.53,50.07,28.7
23.811,25.64,37.25,37.25,61.68,42.14,50.07,28.7
23.201,25.03,36.64,37.86,61.07,41.53,50.07,28.7
23.201,25.03,37.25,37.86,60.46,42.14,50.68,28.09
23.201,25.64,37.86,37.25,60.46,42.75,50.68,28.09
23.201,25.03,37.25,37.86,59.85,42.75,50.68,28.09
23.201,25.64,37.86,38.47,59.85,42.75,50.68,28.09
