0mM
0
0
0
0
3.05
4.88
4.27
2.44
1.83
1.22
0
-1.22
-1.83
-2.45
-1.83
-2.45
-3.06
-2.45
-2.45
-1.83
-1.83
-1.22
-0.61
0
0
1.22
2.44
3.66
4.88
6.1
6.71
8.55
10.38
12.21
14.65
17.71
20.15
23.2
26.26
28.7
31.75
34.8
36.64
38.47
39.69
41.52
42.74
43.35
43.96
44.57
45.19
46.41
46.41
46.41
47.02
47.02
47.63
47.63
48.24
48.24
48.85
48.24
48.85
49.46
50.07
50.07
50.07
50.68
50.07
51.29
50.68
50.68
51.9
51.29
51.9
51.29
51.9
51.9
52.51
52.51
51.9
52.51
52.51
52.51
52.51
52.51
52.51
52.51
53.12
53.12
53.12
53.12
53.12
53.73
53.73
53.73
53.73
53.73
53.12
53.73
54.35
54.35
53.12
54.35
53.73
54.35
53.73
54.35
54.96
54.35
54.35
54.96
54.35
54.35
54.96
54.96
54.35
54.96
54.96
54.35
54.35
54.96
54.96
54.96
54.96
54.96
54.96
54.96
55.57
54.96
54.35
54.35
54.35
54.35
53.73
54.35
53.73
53.12
53.73
53.12
53.12
52.51
52.51
51.29
51.9
51.9
51.9
51.9
51.9
52.51
51.9
51.9
51.29
51.29
51.29
50.07
50.07
50.07
49.46
49.46
49.46
49.46
48.85
49.46
48.85
48.24
48.24
47.63
47.63
47.63
45.8
46.41
45.8
45.8
45.8
45.8
45.19
45.19
44.57
44.57
43.96
44.57
44.57
43.96
43.35
43.35
42.74
42.13
42.13
42.13
42.13
41.52
40.91
40.91
40.3
40.3
39.69
39.69
39.08
39.08
38.47
38.47
38.47
38.47
38.47
37.25
37.86
37.25
37.25
37.25
36.64
36.64
36.64
36.03
35.42
34.8
34.8
34.8
34.19
34.8
34.8
34.19
33.58
33.58
34.19
33.58
33.58
33.58
32.36
32.36
32.97
32.97
32.97
32.36
32.36
32.36
31.75
31.75
31.14
31.75
31.14
31.14
31.14
30.53
31.14
30.53
29.92
30.53
29.92
29.92
30.53
29.92
30.53
29.92
29.92
29.92
29.31
29.92
29.92
29.92
29.31
29.92
29.31
29.31
29.31
29.92
29.31
29.31
29.31
29.31
29.31
29.92
29.31
29.31
29.31
29.31
29.92
29.31
29.92
29.92
29.31
29.31
28.7
29.31
29.31
29.31
28.7
29.31
29.92
30.53
31.14
29.92
30.53
29.92
31.14
31.14
31.14
30.53
27.48
25.64
25.64
26.26
25.64
26.87
27.48
28.09
28.09
29.31
29.92
29.92
31.14
31.75
32.36
32.36
32.36
32.97
32.97
33.58
33.58
33.58
33.58
33.58
34.19
32.97
32.97
33.58
32.97
32.97
32.97
32.36
32.36
32.36
32.36
32.36
32.36
32.36
32.36
32.36
32.36
31.75
32.36
31.75
32.36
31.75
31.75
32.36
32.36
31.75
32.36
32.36
32.36
32.36
32.36
33.58
32.97
32.97
32.97
32.97
32.97
32.97
33.58
33.58
33.58
32.97
32.97
33.58
34.19
34.19
34.19
34.19
34.8
34.19
34.19
34.19
34.19
33.58
33.58
33.58
32.97
33.58
33.58
33.58
33.58
33.58
34.19
34.19
33.58
33.58
33.58
34.19
32.97
32.97
32.97
32.97
32.97
31.75
31.75
31.75
31.75
31.75
31.75
31.14
31.14
30.53
29.92
29.92
29.92
29.31
28.7
28.7
28.7
29.31
28.7
28.7
28.09
28.7
27.48
27.48
27.48
26.87
26.87
26.26
25.64
24.42
25.03
23.81
23.81
23.81
23.2
22.59
22.59
22.59
21.98
21.37
21.37
20.76
20.76
20.15
19.54
19.54
18.93
17.71
17.71
16.48
16.48
15.87
15.87
15.26
14.04
14.04
14.04
14.04
14.04
12.82
12.21
12.21
11.6
10.99
10.99
10.38
9.77
9.77
9.16
9.77
9.16
8.55
9.16
7.94
7.94
7.33
6.71
6.1
6.1
5.49
4.88
4.88
4.27
4.27
3.66
3.66
3.05
3.05
2.44
3.05
2.44
2.44
1.83
1.83
1.83
1.83
0.61
0.61
0.61
0.61
0.61
0
0
-0.61
-0.61
-0.61
-0.61
-1.22
-1.22
-1.22
-1.83
-1.83
-2.45
-1.83
-1.83
-2.45
-2.45
-3.06
-2.45
-3.06
-3.06
-3.06
-3.06
-3.06
-3.67
-3.06
-3.67
-3.67
-4.28
-3.67
-4.28
-4.28
-4.28
-4.89
-4.89
-4.89
-4.28
-5.5
-4.89
-4.89
-4.89
-4.89
-4.89
-4.28
