0.0000 ,1.0000 ,2.0000 ,3.0000 ,4.0000 ,5.0000 ,6.0000 ,7.0000 ,8.0000 ,
0.9953 ,0.0001 ,0.0040 ,0.0000 ,0.0000 ,0.0005 ,0.0000 ,0.0000 ,0.0000 ,0mM
0.0000 ,0.9995 ,0.0000 ,0.0000 ,0.0005 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,50mM
0.0011 ,0.0000 ,0.9984 ,0.0000 ,0.0001 ,0.0004 ,0.0000 ,0.0000 ,0.0000 ,100mM
0.0000 ,0.0000 ,0.0000 ,0.9964 ,0.0000 ,0.0001 ,0.0025 ,0.0009 ,0.0000 ,150mM
0.0002 ,0.0002 ,0.0002 ,0.0004 ,0.9982 ,0.0001 ,0.0006 ,0.0000 ,0.0000 ,200mM
0.0000 ,0.0000 ,0.0000 ,0.0039 ,0.0000 ,0.9961 ,0.0000 ,0.0000 ,0.0000 ,250mM
0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.9997 ,0.0003 ,0.0000 ,300mM
0.0000 ,0.0146 ,0.0000 ,0.0006 ,0.0000 ,0.0004 ,0.0001 ,0.9843 ,0.0000 ,350mM
0.0002 ,0.0018 ,0.0004 ,0.0080 ,0.0023 ,0.0005 ,0.6851 ,0.3016 ,0.0000 ,400mM
